Episode,SPS
0,740.2583833392164
1,957.6036529680365
2,886.5575988163179
3,1186.1719457013576
4,1258.4170417041705
5,958.4789762340037
6,1122.9729585006694
7,1120.5728025647877
8,1239.451536643026
9,1430.5266030013643
10,1279.1412015858493
11,1312.360450563204
12,1274.0899149453219
13,1303.7935965184954
14,1359.5799027552673
15,1321.0406299212598
16,1059.4352109118465
17,830.7197464844523
18,1227.84074941452
19,1344.7592176979801
20,1360.9033095392601
21,1437.3899931459905
22,730.7149825783972
23,1231.4456840869054
24,858.7846027846028
25,1304.60466562986
26,972.9306425423335
27,1483.659002476123
28,1586.3479576399395
29,1601.4906452844598
30,1633.9322165952474
31,1656.518167456556
32,1961.7885874649205
33,1792.4376068376068
34,2049.000488519785
35,1900.4549161758043
36,1902.1786848072563
37,1832.3739624290083
38,2035.0819990295972
39,1911.7155879671832
40,1876.6460850111857
41,1575.0296657904619
42,934.9763709317878
43,1536.3750915750916
44,1992.5434679334917
45,1809.4495254529768
46,1981.248937175248
47,1897.875113122172
48,2035.0819990295972
49,1554.5974796145292
50,1807.1107281344248
51,1930.1905200184078
52,1760.832913518052
53,1750.5442404006678
54,1430.5266030013643
55,1670.3719633612106
56,1681.0837675350701
57,1884.2336028751124
58,1947.2163416898793
59,1975.649552520019
60,1818.0771564802774
61,2179.991683991684
62,1873.293434569004
63,1907.368804001819
64,1998.2391615054787
65,1973.7901176470589
66,2185.6717040125063
67,299.70017863522685
68,438.9643118785976
69,1005.8282973621103
70,1735.3347124534546
71,1885.0804494382023
72,2288.218221494817
73,2106.631843294827
74,2219.2084656084658
75,773.9996309282155
76,1242.7567407407407
77,1340.0332268370607
78,1462.4490934449093
79,1431.0146707608326
80,1499.5723989989274
81,1510.372344256392
82,1533.0058479532163
83,1545.4325718496684
84,1483.1343705799152
85,1516.3788864786695
86,1360.9033095392601
87,796.3364344028859
88,1168.6553357481193
89,1448.3093922651933
90,1403.2465707594513
91,1609.4796623177283
92,1195.9806102081552
93,1378.7981591058515
94,1547.142751752121
95,1556.3280148423005
96,1515.2832369942196
97,1465.0031435557107
98,1506.5747126436781
99,1555.7507418397627
100,356.4463329650718
101,603.2365885229398
102,1085.4824016563148
103,582.2187673514715
104,813.9538133126334
105,1390.684350132626
106,1589.3535430087154
107,1596.0060882800608
108,1795.5068493150684
109,1993.490494296578
110,1693.2999596285829
111,1797.8156879554222
112,1780.264855687606
113,1707.083435083435
114,1381.9782537067545
115,1483.659002476123
116,1737.4913007456503
117,1871.6215975011155
118,1964.5451990632318
119,1897.0167345092718
120,2004.925430210325
121,1914.333181195801
122,1914.333181195801
123,1721.0931473122691
124,1487.3418439716313
125,1914.333181195801
126,1808.6692539887883
127,1829.1774967291758
128,1969.156807511737
129,2018.4331087584217
130,1854.2458001768346
131,2017.4622414622415
132,2185.6717040125063
133,1553.4459259259258
134,1938.2181146025878
135,1721.0931473122691
136,1116.3971253659836
137,1238.719432959244
