label,step,elapsed_s,window_sps,cumulative_sps,rss_mb,window_mean_reward,window_max_reward,loadavg1,resets
master_seed1,10000,21.265,470.3,470.3,147.5,0.0000,2.0000,5.38,0
master_seed1,20000,42.260,476.3,473.3,147.7,0.0000,2.0000,4.57,0
master_seed1,30000,64.818,443.3,462.8,147.9,0.0002,2.0000,4.05,0
master_seed1,40000,87.520,440.5,457.0,147.9,-0.0001,3.0000,4.93,0
master_seed1,50000,110.557,434.1,452.3,147.9,0.0000,24.0000,4.33,0
master_seed1,60000,134.101,424.7,447.4,148.0,-0.0001,2.0000,4.16,0
master_seed1,70000,157.671,424.3,444.0,148.0,0.0000,3.0000,3.95,0
master_seed1,80000,182.457,403.5,438.5,148.0,0.0000,3.0000,4.36,0
master_seed1,90000,206.180,421.5,436.5,148.0,0.0000,3.0000,3.73,0
master_seed1,100000,228.365,450.8,437.9,148.0,0.0000,2.0000,3.61,0
master_seed1,110000,250.681,448.1,438.8,148.0,0.0000,2.0000,3.91,0
master_seed1,120000,273.971,429.4,438.0,148.1,0.0000,2.0000,3.62,0
master_seed1,130000,295.963,454.7,439.2,148.2,0.0000,2.0000,3.28,0
master_seed1,140000,319.948,416.9,437.6,148.1,0.0000,11.0000,2.57,0
master_seed1,150000,343.218,429.7,437.0,148.1,0.0000,29.0000,2.41,0
master_seed1,160000,365.985,439.2,437.2,148.1,0.0001,3.0000,2.35,0
master_seed1,170000,388.449,445.2,437.6,148.1,-0.0001,3.0000,2.23,0
master_seed1,180000,410.857,446.3,438.1,148.1,0.0000,2.0000,2.58,0
master_seed1,190000,432.796,455.8,439.0,148.2,0.0000,2.0000,2.70,0
master_seed1,200000,455.153,447.3,439.4,148.2,0.0000,3.0000,2.69,0
master_seed1,210000,473.958,531.8,443.1,148.2,0.0000,4.0000,2.70,0
master_seed1,220000,495.572,462.7,443.9,148.2,0.0000,2.0000,6.56,0
master_seed1,230000,517.864,448.6,444.1,148.2,0.0000,3.0000,5.37,0
master_seed1,240000,541.614,421.0,443.1,148.2,0.0000,2.0000,4.38,0
master_seed1,250000,565.205,423.9,442.3,148.2,0.0001,2.0000,3.57,0
master_seed1,260000,587.978,439.1,442.2,148.2,0.0000,2.0000,3.39,0
master_seed1,270000,608.866,478.8,443.4,148.2,0.0049,66.0000,7.62,0
master_seed1,280000,629.032,495.9,445.1,148.2,-0.0049,3.0000,6.22,0
master_seed1,290000,650.087,474.9,446.1,148.2,-0.0001,3.0000,4.92,0
master_seed1,300000,672.251,451.2,446.3,148.2,0.0000,2.0000,3.94,0
master_seed1,310000,690.671,542.9,448.8,148.2,0.0000,2.0000,3.76,0
master_seed1,320000,714.162,425.7,448.1,148.4,0.0000,11.0000,3.07,0
master_seed1,330000,738.061,418.4,447.1,148.5,0.0000,2.0000,2.57,0
master_seed1,340000,759.489,466.7,447.7,148.5,0.0000,3.0000,2.10,0
master_seed1,350000,782.295,438.5,447.4,148.5,0.0000,3.0000,1.86,0
master_seed1,360000,802.007,507.3,448.9,148.5,0.0000,2.0000,1.96,0
master_seed1,370000,821.870,503.4,450.2,148.5,0.0000,2.0000,2.40,0
master_seed1,380000,843.508,462.2,450.5,148.5,0.0000,3.0000,3.82,0
master_seed1,390000,864.216,482.9,451.3,148.5,0.0000,2.0000,3.17,0
master_seed1,400000,888.034,419.9,450.4,148.5,0.0000,2.0000,3.25,0
master_seed1,410000,910.369,447.7,450.4,148.5,0.0000,2.0000,3.35,0
master_seed1,420000,932.533,451.2,450.4,148.5,0.0000,2.0000,2.93,0
master_seed1,430000,957.374,402.6,449.1,148.5,0.0000,2.0000,3.12,0
master_seed1,440000,980.806,426.8,448.6,148.5,0.0001,2.0000,3.05,0
master_seed1,450000,1001.955,472.8,449.1,148.5,-0.0001,2.0000,3.25,0
master_seed1,460000,1022.574,485.0,449.8,148.5,0.0000,3.0000,3.55,0
master_seed1,470000,1044.734,451.3,449.9,148.7,0.0000,50.0000,3.67,0
master_seed1,480000,1064.729,500.1,450.8,148.7,0.0000,3.0000,3.74,0
master_seed1,490000,1085.327,485.5,451.5,148.7,0.0000,25.0000,3.80,0
master_seed1,500000,1107.128,458.7,451.6,148.7,0.0000,2.0000,4.02,0
