label,step,elapsed_s,window_sps,cumulative_sps,rss_mb,window_mean_reward,window_max_reward,loadavg1,resets
branch_seed1,10000,2.882,3470.3,3470.1,124.0,0.0000,2.0000,4.72,0
branch_seed1,20000,5.882,3333.2,3400.1,124.3,0.0000,2.0000,4.58,0
branch_seed1,30000,8.823,3400.2,3400.1,124.3,0.0000,3.0000,4.58,0
branch_seed1,40000,11.718,3454.4,3413.4,124.4,0.0000,29.0000,4.45,0
branch_seed1,50000,14.849,3194.1,3367.1,124.4,0.0000,25.0000,4.45,0
branch_seed1,60000,17.915,3262.8,3349.2,124.4,0.0000,3.0000,4.34,0
branch_seed1,70000,20.760,3515.0,3371.9,124.4,0.0000,25.0000,4.07,0
branch_seed1,80000,23.829,3258.6,3357.3,124.4,0.0000,4.0000,4.07,0
branch_seed1,90000,26.990,3164.0,3334.6,124.4,0.0000,25.0000,4.06,0
branch_seed1,100000,30.008,3313.2,3332.4,124.4,0.0000,3.0000,4.06,0
branch_seed1,110000,33.138,3195.1,3319.5,124.4,0.0000,3.0000,3.98,0
branch_seed1,120000,36.193,3273.5,3315.5,124.6,0.0000,25.0000,3.74,0
branch_seed1,130000,39.382,3136.2,3301.0,124.5,0.0000,2.0000,3.74,0
branch_seed1,140000,42.370,3346.8,3304.2,124.5,0.0000,3.0000,3.60,0
branch_seed1,150000,45.385,3316.6,3305.0,124.5,0.0000,10.0000,3.60,0
branch_seed1,160000,48.330,3396.2,3310.6,124.5,0.0000,2.0000,3.63,0
branch_seed1,170000,51.434,3222.5,3305.2,124.5,0.0005,25.0000,3.58,0
branch_seed1,180000,54.515,3245.0,3301.8,124.5,-0.0005,2.0000,3.58,0
branch_seed1,190000,57.542,3304.1,3301.9,124.5,0.0000,3.0000,3.53,0
branch_seed1,200000,60.658,3209.4,3297.2,124.5,0.0001,4.0000,3.53,0
branch_seed1,210000,63.675,3315.1,3298.0,124.5,-0.0001,3.0000,3.97,0
branch_seed1,220000,66.606,3412.5,3303.0,124.5,0.0000,2.0000,3.81,0
branch_seed1,230000,69.587,3354.0,3305.2,124.5,0.0000,3.0000,3.81,0
branch_seed1,240000,72.475,3463.8,3311.5,124.5,0.0000,2.0000,4.15,0
branch_seed1,250000,75.672,3128.3,3303.8,124.6,0.0008,3.0000,4.06,0
branch_seed1,260000,78.541,3485.7,3310.4,124.6,-0.0008,25.0000,4.06,0
branch_seed1,270000,81.172,3800.8,3326.3,124.6,0.0001,10.0000,3.97,0
branch_seed1,280000,83.939,3613.9,3335.7,124.6,-0.0001,3.0000,3.97,0
branch_seed1,290000,86.813,3480.1,3340.5,124.6,0.0003,3.0000,3.89,0
branch_seed1,300000,89.741,3415.0,3342.9,124.6,-0.0002,2.0000,3.89,0
branch_seed1,310000,92.812,3257.4,3340.1,124.6,-0.0001,2.0000,3.74,0
branch_seed1,320000,95.820,3323.8,3339.6,124.6,0.0000,1.0000,3.52,0
branch_seed1,330000,98.671,3508.6,3344.5,124.6,0.0006,4.0000,3.52,0
branch_seed1,340000,101.813,3182.3,3339.4,124.6,-0.0005,4.0000,3.48,0
branch_seed1,350000,104.794,3354.8,3339.9,124.6,0.0001,28.0000,3.48,0
branch_seed1,360000,107.672,3475.0,3343.5,124.6,-0.0002,11.0000,3.44,0
branch_seed1,370000,110.466,3579.7,3349.4,124.6,0.0000,1.0000,3.44,0
branch_seed1,380000,113.234,3612.6,3355.9,124.6,0.0001,3.0000,3.24,0
branch_seed1,390000,116.044,3560.0,3360.8,124.6,0.0000,2.0000,3.06,0
branch_seed1,400000,118.869,3539.3,3365.0,124.6,-0.0001,11.0000,3.06,0
branch_seed1,410000,121.734,3491.3,3368.0,124.6,0.0003,2.0000,2.90,0
branch_seed1,420000,124.567,3529.9,3371.7,124.6,-0.0002,2.0000,2.90,0
branch_seed1,430000,127.231,3753.6,3379.7,124.6,-0.0001,3.0000,2.75,0
branch_seed1,440000,129.848,3821.9,3388.6,124.6,0.0001,1.0000,2.75,0
branch_seed1,450000,132.334,4023.6,3400.5,124.6,-0.0001,1.0000,2.77,0
branch_seed1,460000,134.745,4148.0,3413.9,124.6,0.0000,3.0000,2.77,0
branch_seed1,470000,137.440,3710.7,3419.7,124.6,0.0002,2.0000,2.62,0
branch_seed1,480000,140.270,3533.5,3422.0,124.6,-0.0002,3.0000,2.62,0
branch_seed1,490000,143.034,3618.8,3425.8,124.6,0.0000,2.0000,2.49,0
branch_seed1,500000,145.894,3496.6,3427.1,124.6,0.0001,2.0000,2.53,0
