label,step,elapsed_s,window_sps,cumulative_sps,rss_mb,window_mean_reward,window_max_reward,loadavg1,resets
master_seed2,10000,18.702,534.7,534.7,147.1,0.0000,2.0000,3.83,0
master_seed2,20000,42.604,418.4,469.4,147.2,0.0001,3.0000,3.95,0
master_seed2,30000,65.000,446.5,461.5,147.4,-0.0001,3.0000,3.91,0
master_seed2,40000,86.177,472.2,464.2,147.6,0.0000,2.0000,3.97,0
master_seed2,50000,103.497,577.4,483.1,147.6,0.0004,3.0000,3.98,0
master_seed2,60000,125.648,451.5,477.5,147.6,-0.0004,3.0000,4.08,0
master_seed2,70000,150.010,410.5,466.6,147.6,0.0000,4.0000,3.71,0
master_seed2,80000,172.124,452.2,464.8,147.6,0.0004,3.0000,3.60,0
master_seed2,90000,194.786,441.3,462.0,147.6,-0.0004,2.0000,3.50,0
master_seed2,100000,218.321,424.9,458.0,147.6,0.0025,29.0000,3.57,0
master_seed2,110000,240.699,446.9,457.0,147.8,-0.0025,50.0000,3.50,0
master_seed2,120000,265.070,410.3,452.7,147.8,0.0003,2.0000,3.08,0
master_seed2,130000,284.881,504.8,456.3,147.8,-0.0001,2.0000,2.93,0
master_seed2,140000,304.647,505.9,459.5,147.8,0.0002,4.0000,2.67,0
master_seed2,150000,323.308,535.9,464.0,147.8,-0.0004,3.0000,2.76,0
master_seed2,160000,344.795,465.4,464.0,147.8,0.0001,2.0000,2.41,0
master_seed2,170000,365.853,474.9,464.7,147.9,-0.0001,2.0000,2.49,0
master_seed2,180000,385.792,501.5,466.6,147.9,0.0002,3.0000,2.34,0
master_seed2,190000,406.017,494.4,468.0,147.9,-0.0002,2.0000,5.68,0
master_seed2,200000,424.284,547.4,471.4,147.9,0.0000,2.0000,4.50,0
master_seed2,210000,445.651,468.0,471.2,147.9,0.0000,3.0000,4.26,0
master_seed2,220000,465.673,499.4,472.4,147.9,0.0000,92.0000,6.05,0
master_seed2,230000,486.294,484.9,473.0,147.9,0.0000,2.0000,4.63,0
master_seed2,240000,507.184,478.7,473.2,147.9,0.0000,2.0000,3.60,0
master_seed2,250000,529.908,440.1,471.8,147.9,0.0000,3.0000,2.95,0
master_seed2,260000,550.847,477.6,472.0,148.0,0.0000,54.0000,2.60,0
master_seed2,270000,567.490,600.9,475.8,148.0,0.0001,3.0000,2.32,0
master_seed2,280000,587.967,488.4,476.2,148.0,-0.0001,2.0000,2.33,0
master_seed2,290000,609.852,456.9,475.5,148.0,0.0000,2.0000,1.88,0
master_seed2,300000,631.043,471.9,475.4,148.0,0.0001,2.0000,1.97,0
master_seed2,310000,647.676,601.2,478.6,148.0,-0.0001,3.0000,1.95,0
master_seed2,320000,666.499,531.3,480.1,148.0,0.0000,4.0000,1.61,0
master_seed2,330000,687.528,475.5,480.0,148.0,0.0000,48.0000,1.51,0
master_seed2,340000,706.111,538.1,481.5,148.0,0.0000,2.0000,2.07,0
master_seed2,350000,722.788,599.6,484.2,148.0,0.0000,3.0000,2.44,0
master_seed2,360000,742.305,512.4,485.0,148.0,0.0000,2.0000,2.68,0
master_seed2,370000,763.387,474.4,484.7,148.0,0.0000,10.0000,2.56,0
master_seed2,380000,784.563,472.2,484.3,148.1,0.0000,4.0000,2.41,0
master_seed2,390000,803.545,526.8,485.3,148.1,0.0000,3.0000,2.85,0
master_seed2,400000,824.040,487.9,485.4,148.1,0.0000,3.0000,4.78,0
master_seed2,410000,843.585,511.7,486.0,148.1,0.0000,3.0000,4.57,0
master_seed2,420000,862.941,516.6,486.7,148.1,0.0001,3.0000,3.63,0
master_seed2,430000,883.984,475.2,486.4,148.1,-0.0001,2.0000,3.07,0
master_seed2,440000,904.564,485.9,486.4,148.1,0.0000,2.0000,3.07,0
master_seed2,450000,925.512,477.4,486.2,148.1,0.0000,2.0000,2.98,0
master_seed2,460000,948.907,427.5,484.8,148.1,0.0000,3.0000,2.42,0
master_seed2,470000,969.976,474.6,484.5,148.1,0.0000,4.0000,1.88,0
master_seed2,480000,989.360,515.9,485.2,148.1,0.0002,2.0000,1.77,0
master_seed2,490000,1007.642,547.0,486.3,148.1,-0.0002,2.0000,1.80,0
master_seed2,500000,1027.961,492.1,486.4,148.1,0.0000,2.0000,1.59,0
