label,step,elapsed_s,window_sps,cumulative_sps,rss_mb,window_mean_reward,window_max_reward,loadavg1,resets
branch_seed0,10000,2.972,3364.9,3364.7,124.8,0.0000,25.0000,3.99,0
branch_seed0,20000,6.121,3176.4,3267.7,124.8,0.0000,2.0000,4.23,0
branch_seed0,30000,9.255,3190.4,3241.4,125.0,0.0000,87.0000,4.23,0
branch_seed0,40000,12.421,3159.2,3220.4,125.0,0.0000,3.0000,4.85,0
branch_seed0,50000,15.544,3202.1,3216.6,125.0,0.0000,119.0000,4.87,0
branch_seed0,60000,18.693,3176.0,3209.8,125.0,0.0003,2.0000,4.87,0
branch_seed0,70000,21.549,3501.7,3248.4,125.0,-0.0003,3.0000,4.72,0
branch_seed0,80000,24.630,3245.4,3248.0,125.0,0.0002,2.0000,4.72,0
branch_seed0,90000,27.770,3185.1,3240.9,125.0,-0.0002,3.0000,5.22,0
branch_seed0,100000,30.909,3186.3,3235.3,125.0,0.0000,2.0000,5.04,0
branch_seed0,110000,33.940,3299.5,3241.0,125.0,0.0000,3.0000,5.04,0
branch_seed0,120000,37.168,3098.5,3228.6,125.0,0.0003,2.0000,4.96,0
branch_seed0,130000,40.236,3259.2,3230.9,125.0,-0.0003,84.0000,4.96,0
branch_seed0,140000,43.256,3311.5,3236.5,125.0,0.0000,25.0000,4.96,0
branch_seed0,150000,46.567,3020.9,3221.2,125.0,0.0000,2.0000,5.04,0
branch_seed0,160000,49.476,3437.0,3233.9,125.0,0.0000,2.0000,5.04,0
branch_seed0,170000,52.432,3383.3,3242.3,125.0,0.0006,2.0000,4.80,0
branch_seed0,180000,55.508,3251.7,3242.8,125.0,-0.0006,104.0000,4.98,0
branch_seed0,190000,58.645,3188.1,3239.8,125.0,0.0000,54.0000,4.98,0
branch_seed0,200000,61.797,3172.8,3236.4,125.0,0.0001,11.0000,5.46,0
branch_seed0,210000,64.764,3370.4,3242.5,125.0,-0.0001,2.0000,5.46,0
branch_seed0,220000,67.348,3871.5,3266.6,125.0,0.0000,2.0000,5.66,0
branch_seed0,230000,69.813,4057.2,3294.5,125.0,0.0000,1.0000,5.66,0
branch_seed0,240000,72.296,4027.5,3319.7,125.0,0.0000,1.0000,5.37,0
branch_seed0,250000,74.665,4221.1,3348.3,125.0,0.0000,1.0000,5.37,0
branch_seed0,260000,77.092,4120.9,3372.6,125.0,0.0000,61.0000,5.34,0
branch_seed0,270000,79.442,4256.5,3398.7,125.0,0.0000,1.0000,5.34,0
branch_seed0,280000,81.705,4418.9,3427.0,125.0,0.0000,1.0000,5.07,0
branch_seed0,290000,83.959,4436.2,3454.1,125.0,0.0000,1.0000,5.07,0
branch_seed0,300000,86.181,4501.6,3481.0,125.0,0.0000,2.0000,4.98,0
branch_seed0,310000,88.493,4325.7,3503.1,125.0,0.0000,2.0000,4.98,0
branch_seed0,320000,90.731,4469.8,3526.9,125.0,0.0000,2.0000,4.82,0
branch_seed0,330000,92.933,4540.4,3550.9,125.0,0.0000,3.0000,4.82,0
branch_seed0,340000,95.149,4514.7,3573.4,125.0,0.0000,2.0000,4.82,0
branch_seed0,350000,97.294,4660.7,3597.3,125.0,0.0001,2.0000,4.68,0
branch_seed0,360000,99.675,4200.2,3611.7,125.0,-0.0001,3.0000,4.68,0
branch_seed0,370000,102.122,4087.6,3623.1,125.0,0.0000,2.0000,4.70,0
branch_seed0,380000,104.591,4050.8,3633.2,125.0,0.0000,11.0000,4.70,0
branch_seed0,390000,107.140,3922.8,3640.1,125.1,0.0000,11.0000,5.69,0
branch_seed0,400000,109.632,4014.5,3648.6,125.1,0.0000,2.0000,5.69,0
branch_seed0,410000,112.146,3978.2,3656.0,125.1,0.0000,2.0000,5.87,0
branch_seed0,420000,114.512,4226.1,3667.7,125.1,0.0000,2.0000,5.87,0
branch_seed0,430000,117.000,4019.9,3675.2,125.1,0.0000,2.0000,5.48,0
branch_seed0,440000,119.477,4036.9,3682.7,125.1,0.0000,2.0000,5.48,0
branch_seed0,450000,121.972,4009.6,3689.4,125.1,0.0000,1.0000,5.60,0
branch_seed0,460000,124.496,3960.8,3694.9,125.1,0.0001,10.0000,5.60,0
branch_seed0,470000,127.007,3984.3,3700.6,125.1,-0.0001,2.0000,5.31,0
branch_seed0,480000,129.414,4154.5,3709.0,125.1,0.0000,1.0000,5.31,0
branch_seed0,490000,131.818,4159.6,3717.2,125.1,0.0001,2.0000,5.13,0
branch_seed0,500000,134.230,4146.4,3724.9,125.1,-0.0001,10.0000,5.13,0
